Iata No.,Customer No.,Customer Name,Yr/Mo,Bkd. Air,Car,Hotel,Rail,Tour,Cruise,Total
00885765,0090015699,Atlas Travel & Holidays,201211,4,0,0,0,0,0,4
00933811,0090015213,Atlas Travel & Holidays,201211,2,0,0,0,0,0,2
67501641,0010009655,Atlas Travel & Holidays,201211,723,0,0,0,0,0,723
00866095,0010024476,BAHAR TRAVEL & TOURS INC,201211,251,0,0,0,0,0,251
00828015,0010024078,Banat Travel,201211,5,0,0,0,0,0,5
00780511,0010014985,Bayee Travel Group Inc,201211,234,0,0,0,0,0,234
00802476,0010023785,BB Travel Corp,201211,15,0,0,0,0,0,15
00782692,0010025786,Bell Travel,201211,8,0,0,0,0,0,8
00793225,0010025937,Bengal International Travel Service,201211,100,0,0,0,0,0,100
00826044,0010018972,Best Fare Travel & Tours Inc,201211,258,0,0,0,0,0,258
96508834,0010011101,Bestway Travel Ltd.,201211,51,2,0,0,1,0,54
60443899,0010025223,Bookmyholiday.Ca,201211,25,0,0,0,0,0,25
96535003,0010025993,C & A Holiday (Canada) Ltd.,201211,199,0,0,0,0,0,199
96519183,0010021993,Camy Travel Inc,201211,357,0,0,0,0,0,357
67502746,0010011175,Canada Express Travel Agency,201211,15,0,0,0,0,0,15
00796095,0010018626,Canada International Travel Corp,201211,81,0,0,0,0,0,81
61500526,0010011100,Canadian Paradise Holidays Ltd.,201211,16,0,0,0,0,0,16
00871990,0010017268,Cana Holidays,201211,209,0,0,0,0,0,209
00888495,0010017623,Canna Travel,201211,20,0,0,0,0,0,20
00862120,0010011263,Can Travel Services Inc.,201211,7,0,0,0,0,0,7
00787931,0010025891,Cantrust International Travel,201211,4,0,0,0,0,0,4
61501215,0010009694,Capital World Tours,201211,159,0,0,0,0,0,159
00823222,0010024020,CCC Trip Solutions,201211,43,0,0,0,0,0,43
96511240,0010016263,Centre Holidays,201211,110,0,0,0,0,0,110
00926041,0010018114,Chartwell Travel & Tours,201211,11,0,0,0,0,0,11
96330323,0010018113,Chartwell Travel & Tours,201211,-5,0,0,0,0,0,-5
61501576,0010021368,China Star Holiday (Canada Ltd),201211,-1,0,0,0,0,0,-1
00795955,0010025942,China Visit Tour Inc.,201211,154,0,0,0,0,0,154
00831552,0010026217,CICI Vacation Inc.,201211,53,0,0,0,0,0,53
96535795,0010024366,CJ Travel (Canada) Ltd.,201211,10,0,0,0,0,0,10
96534270,0010025395,CNC Sparks Trading Co Ltd,201211,151,0,0,0,0,0,151
96520303,0010012930,Connect Tour Ltd,201211,288,0,0,0,0,0,288
96515344,0010013574,Cosmo Travel,201211,36,0,0,0,0,0,36
96523523,0010016028,CTC Travel ( Canada) Ltd,201211,63,0,0,0,0,0,63
00807903,0090016089,Cumberland Travel,201211,26,0,0,0,0,0,26
67906602,0010019368,Cumberland Travel,201211,127,0,2,0,0,0,129
61501322,0010007661,"Daricny Travel Co., Ltd",201211,203,0,0,0,0,0,203
00896173,0010017750,Discount Holiday Center,201211,62,0,0,0,9,0,71
67502293,0010015579,Domar Travel & Tours Limited,201211,176,0,0,0,0,0,176
00889700,0010013789,Dragon City Travel & Tours,201211,245,0,0,0,0,0,245
96502173,0010007666,Dustin Tour & Travel Inc.,201211,232,0,0,0,0,0,232
61692282,0010011090,Eagle Travel Inc.,201211,154,0,0,0,0,0,154
41632148,0010025949,EC Travel,201211,0,0,0,0,0,0,0
00905225,0010017774,Elo Tours,201211,184,0,0,0,0,0,184
96331550,0010019803,Empress Travel,201211,295,12,8,0,0,0,315
00832366,0010021906,ETI Travel International,201211,209,0,0,0,4,0,213
00885636,0090017115,ETN Travels,201211,212,0,0,0,0,0,212
96526382,0010018890,ETN Travels,201211,798,0,0,0,0,0,798
61647062,0010021914,Fairwind Travel Service Ltd,201211,112,2,4,0,3,0,121
67505782,0010020537,Famous Travel & Tours,201211,180,0,0,0,5,0,185
60437740,0010024365,Fei Fan Travel Ltd.,201211,26,0,0,0,0,0,26
60946970,0010023621,Flight Express Travel Inc,201211,-4,0,0,0,0,0,-4
00788060,0010018627,Flyzone,201211,55,0,0,0,0,0,55
67502374,0010007688,Gala Toronto Travel Centre,201211,183,0,0,0,0,1,184
96529705,0010021900,Genesis Travel Service,201211,517,0,0,0,0,0,517
00866810,0010026477,GitSa Travel & Tours Inc.,201211,-6,0,0,0,0,0,-6
96517481,0010011091,Globalnorth Travel Ltd.,201211,111,1,0,0,0,0,112
96526990,0010019399,Global Sunshine Travel Inc,201211,92,0,0,0,4,0,96
00780533,0090017800,Globe-Time Travel,201211,-222,0,0,0,0,0,-222
61501996,0010011608,Globe-Time Travel,201211,84,0,0,0,0,0,84
67505270,0010024247,GM Tours Inc,201211,2,0,0,0,0,0,2
00865631,0010021096,Golden Bridge Travel,201211,60,0,0,0,0,0,60
96515156,0010011275,Golden Miles Vacation Inc,201211,-6,0,0,0,0,0,-6
96328805,0010011243,Golden Pacific (Markham) Travel,201211,674,0,0,0,0,0,674
00846425,0010026405,Good Travel,201211,549,0,0,0,0,0,549
96528762,0010020937,Grandview Travel Ltd.,201211,292,0,0,0,0,0,292
96530206,0010022012,Great China Tour Inc,201211,8,0,0,0,0,0,8
96530873,0010022617,Great Travel Fares,201211,-84,0,0,0,0,0,-84
96517514,0010011026,Green's Travel Services Inc,201211,902,0,0,0,5,0,907
96528095,0010021791,"Hajeej International, Inc.",201211,134,0,0,0,0,0,134
96531562,0010022955,Hannah Travel & Tours Ltd,201211,193,0,0,0,2,0,195
00075843,0010022957,Hao Trip,201211,7,0,0,0,0,0,7
96534410,0010025750,Happy Long Travel,201211,86,0,0,0,0,0,86
00849564,0010024209,Harvard Tours,201211,"1,879",0,0,0,0,0,"1,879"
00814612,0010026079,Herui Travel and Tours Corp.,201211,871,0,0,0,0,0,871
00818683,0010026139,Herui Travel and Tours Corp.,201211,6,0,0,0,0,0,6
00831132,0010024135,Horizons Travel Inc,201211,240,0,0,0,0,0,240
00868711,0010024510,HYI Corporation,201211,408,0,0,0,0,0,408
00880261,0010017411,Infinity Travel & Tours,201211,2,0,0,0,0,0,2
00818230,0010021766,Instec International Inc,201211,37,0,0,0,0,0,37
00878684,0010017385,International Travel Guide Corp,201211,6,0,0,0,0,0,6
00848385,0010024257,International Travel Services Corp,201211,29,0,0,0,0,0,29
00911153,0010025340,ITRAVELLER SERVICE STUDIO,201211,8,0,0,0,0,0,8
96505905,0010016816,Jacco Tours (Ontario) Inc,201211,29,0,0,0,0,0,29
96512463,0010016815,Jacco Tours (Ontario) Inc,201211,109,0,0,0,0,0,109
00792035,0010012730,Jet Plus Travel Inc.,201211,268,0,0,0,0,0,268
67504323,0010013572,Jetspeed Travel,201211,0,0,0,0,0,0,0
96522823,0010015285,Jets Travel,201211,84,0,0,0,7,0,91
96509490,0010024938,Josh Travels Inc.,201211,55,0,0,0,0,0,55
96527152,0010021770,Just Go Travel,201211,159,0,0,0,0,0,159
00783996,0010025756,Just Happy Vacation,201211,503,0,0,0,0,0,503
41661883,0010026623,KALANI GROUP,201211,29,1,1,0,0,0,31
67505034,0010018402,Karpaty Travel,201211,220,0,1,0,22,0,243
00804355,0010021655,Kataria Tours & Travel,201211,351,0,0,0,0,0,351
96330990,0010017866,Keio Travel And Tours,201211,99,0,1,0,0,0,100
96504192,0010011457,Keystone Travel Ltd.,201211,68,0,0,0,0,0,68
00863671,0010022385,Khayat Travel and Tourism Inc.,201211,52,0,0,0,0,0,52
00929261,0010025709,Kingtie Travel Services Ltd.,201211,14,0,0,0,0,0,14
00848492,0010024256,Kintrust Financial Limited,201211,-1,0,0,0,0,0,-1
67504452,0010023773,Leximco Travel,201211,27,0,0,0,1,0,28
00795550,0010025936,Lily Trip Network Inc.,201211,31,0,0,0,0,0,31
00886745,0010022191,Lily Vacation Inc,201211,183,0,0,0,0,0,183
00816701,0010023955,Lion Travel,201211,436,0,0,0,0,0,436
00816841,0010023944,Lion Travel,201211,104,0,0,0,0,0,104
00836496,0090018435,Lion Travel,201211,-6,0,0,0,0,0,-6
00861641,0090014945,Lion Travel,201211,25,0,0,0,0,0,25
61500913,0010017790,Lion Travel,201211,52,0,0,0,0,0,52
00921841,0090017455,Lovely Travel & Tours Int'l Inc.,201211,6,0,0,0,0,0,6
67518345,0010012155,Lovely Travel & Tours Int'l Inc.,201211,566,0,0,0,0,0,566
67504021,0010011027,LPT,201211,143,0,0,0,3,0,146
00890315,0090017152,Luxor Tours Ltd,201211,20,0,0,0,0,0,20
67500764,0010015390,Luxor Tours Ltd,201211,29,0,0,0,0,0,29
96531234,0010022851,Mainland International Travel Co.,201211,643,0,0,0,0,1,644
96532682,0010023814,Mandarin  Holidays,201211,361,0,0,0,0,0,361
00837686,0090018458,Mandarin Holidays,201211,35,0,0,0,0,0,35
00914093,0090017368,Mandarin Holidays,201211,2,0,0,0,0,0,2
67512885,0010011028,Mandarin Holidays,201211,818,0,0,0,4,0,822
96532660,0010023821,Mandarin Holidays,201211,299,0,0,0,0,0,299
96532671,0010023813,Mandarin Holidays,201211,13,0,0,0,0,0,13
96533894,0010025196,Mandarin Holidays,201211,392,0,0,0,0,0,392
96534292,0010025548,Mandarin Holidays,201211,150,0,0,0,0,0,150
00835914,0010021949,Maple Leaf (R) Int'l Tvl Ltd,201211,407,0,0,0,0,0,407
00871286,0090018851,Maple Leaf (R) Int'l Tvl Ltd,201211,0,0,0,0,0,0,0
00790650,0010015319,Matrix Travel,201211,214,0,0,0,5,0,219
00873633,0010017267,Mavi Travel & Tours,201211,631,0,0,0,0,0,631
67504345,0010025198,MILLENNIUM LEISURE TRAVEL INC,201211,136,0,0,0,0,0,136
00921782,0010024034,Mina Tours,201211,114,0,0,0,0,0,114
00818646,0010026138,Miracle Holidays Ltd.,201211,68,0,0,0,2,0,70
00881731,0010021158,Mok Travel,201211,361,0,0,0,0,0,361
00905601,0010025232,NAC Enterprises International Inc.,201211,300,0,0,0,0,0,300
96509630,0010011551,New Central Travel,201211,36,0,0,0,2,0,38
00923016,0010018462,New Golden Horse Tours,201211,175,0,0,0,0,0,175
96505231,0010011102,New Golden Horse Tours (Canada) Ltd,201211,261,0,0,0,14,0,275
96518435,0010018468,New Golden Horse Tours (Canada) Ltd,201211,206,0,0,0,4,0,210
96534045,0010025253,New Pioneer Travel,201211,226,0,0,0,0,0,226
96516663,0010016841,New Star Travel Agency,201211,-34,0,0,0,0,0,-34
96531901,0010023620,New Way Travel,201211,124,0,0,0,0,0,124
96524794,0010017127,"Nexus Holidays Toronto, Inc.",201211,365,0,0,0,3,0,368
00840254,0010024173,NGH Travel,201211,243,0,0,0,0,0,243
00939186,0010014935,Niceday Travel Inc,201211,10,0,0,0,0,0,10
96522904,0010021033,Nishan Travel & Tours Inc,201211,241,0,0,0,0,0,241
00829765,0010024072,Olive Tree Travel Agency Ltd,201211,-8,0,0,0,0,0,-8
00899570,0090016151,Omni Tours,201211,-6,0,0,0,0,0,-6
67500834,0010009513,Omni Tours,201211,11,0,0,0,34,0,45
96513690,0010017569,Onkar Travels,201211,432,0,0,0,0,0,432
96514703,0010011134,On Time Travel Ltd.,201211,131,0,0,0,0,0,131
96516195,0010011092,Opal Travel Ltd.,201211,12,0,0,0,0,0,12
96522123,0010013788,Options Travel and Trade Links Inc.,201211,358,0,0,0,0,0,358
00802480,0010025938,Pacific Express Tours Ltd.,201211,"1,114",0,0,0,0,0,"1,114"
00909171,0010019957,Paradise Travel,201211,76,0,0,0,0,0,76
96529904,0010021889,Parsian Travel and Tours,201211,229,0,0,0,1,0,230
00788325,0010020400,Parsia Travel,201211,84,0,0,0,0,0,84
00817224,0010018973,Parvaz Travel,201211,207,0,0,0,0,0,207
00925890,0010025592,PASARGAD TRAVEL INC,201211,82,0,0,0,0,0,82
00825156,0010016189,Peaktime Travel Inc.,201211,0,0,0,0,0,0,0
00841831,0010026406,Perfect Vacation,201211,-2,0,0,0,0,0,-2
60455806,0010026621,Perfectworld Holiday Limited,201211,18,0,0,0,0,0,18
96515495,0010009837,Persia Travel and Tours Incl,201211,32,0,0,0,0,0,32
00828940,0010026266,Piyao International Travel Inc.,201211,65,0,0,0,0,0,65
96531735,0010023095,Premiere International Travel Ltd,201211,494,0,1,0,0,0,495
67167424,0010020383,Queen Travel,201211,2,0,0,0,0,0,2
67502794,0010009621,Quick Travel,201211,"1,141",18,29,0,2,0,"1,190"
00804860,0090018052,Rah Tours,201211,-1,0,0,0,0,0,-1
00866795,0010021155,Rah Tours,201211,331,0,0,0,2,0,333
00896346,0010025197,"Rewards Travel China, Inc.",201211,21,0,0,0,0,0,21
00873865,0010024913,Rhythm Travel and Tours Inc,201211,105,0,0,0,0,0,105
00873261,0010022014,Ri Sun Travel,201211,808,0,0,0,0,0,808
96535950,0010026435,ROC TRAVEL INC.,201211,52,0,0,0,0,0,52
00780032,0010020354,Royal African Travel And Cargo,201211,354,0,0,0,0,0,354
96525155,0010016661,Ruyi Travel,201211,320,0,0,0,0,0,320
00867300,0010026539,SADAF HOLIDAYS INC,201211,24,0,0,0,0,0,24
67515254,0010020720,Safar Travel Ltd.,201211,72,0,0,0,0,0,72
96528703,0010021002,Safir Travel,201211,85,0,0,0,0,0,85
96535703,0010026255,S&E Travel Inc.,201211,0,0,0,0,0,0,0
00857345,0010011094,Sham Travel,201211,173,0,0,0,0,0,173
00932013,0010014778,ShengNuo Tours,201211,0,0,0,0,4,0,4
96529764,0010021678,Simorgh Travel,201211,56,0,0,0,0,0,56
67564033,0010019952,SkyFlight Travel Centre,201211,159,0,0,0,0,0,159
00919881,0010020137,Skylark Travel and Services,201211,79,0,0,0,0,0,79
96534185,0010025540,Skylines Holiday Inc.,201211,538,0,0,0,5,0,543
67505480,0010010981,Skyline Travel Int'l Canada Inc.,201211,584,0,2,0,0,0,586
96534432,0010025785,Skynet Holidays,201211,1,0,0,0,0,0,1
00909764,0010025326,SKYNET TOURS & TRAVEL LTD,201211,10,0,0,0,0,0,10
61500563,0010011029,S. L. Holidays,201211,"1,096",0,0,0,0,0,"1,096"
96530361,0010025890,Splendid Canada Travel,201211,4,0,0,0,0,0,4
00826350,0010026223,Spring Travel (P) Ltd.,201211,517,0,0,0,0,0,517
96517643,0010011103,Success Travel,201211,150,0,0,0,0,0,150
61541804,0010009466,Sunshine Pacific Travel Ltd.,201211,-19,0,0,0,0,0,-19
00783521,0010021460,Swansea Travel,201211,23,0,0,0,2,0,25
00855083,0010021031,The One Travel Shop,201211,180,0,0,0,0,0,180
96531584,0010023032,Tian Tian Travel Inc,201211,398,0,4,0,0,0,402
00872045,0010024367,Top King Travel & Consulting,201211,291,0,0,0,0,0,291
00836614,0090018434,Transglobal Travel & Tours Ltd.,201211,45,0,0,0,0,0,45
67505690,0010026078,Transglobal Travel & Tours Ltd.,201211,11,0,0,0,14,0,25
67529136,0010009683,TravelAir,201211,82,0,0,0,1,0,83
00783845,0010025784,Travel de Canada,201211,52,0,0,0,0,0,52
96330253,0010011148,Travel Safe Vacation,201211,-24,0,0,0,0,0,-24
00907524,0010017913,Travelworld,201211,147,0,0,0,0,0,147
00874683,0010024925,Trawin Travel Inc.,201211,107,0,0,0,0,0,107
96535073,0010024185,Triplets Travel & Vacation,201211,187,0,0,0,0,0,187
96505975,0010014742,Unique Holidays,201211,51,0,0,0,0,0,51
67802560,0010016190,United Tours & Travel (Canada) Ltd.,201211,-1,0,12,0,0,0,11
61527233,0010011133,Universal Travel,201211,573,0,6,0,0,0,579
00878555,0010017326,Victoria Holidays Inc,201211,770,0,0,0,0,0,770
96520745,0010014741,Vistula Travel inc,201211,43,0,0,0,4,0,47
00863181,0090009164,Well Travel Ltd.,201211,190,0,0,0,0,0,190
00863192,0090009165,Well Travel Ltd.,201211,163,0,0,0,0,0,163
61500725,0010011031,Well Travel Ltd.,201211,449,0,0,0,0,0,449
67548644,0010014217,Westend Travel Inc,201211,2,0,0,0,0,0,2
96524676,0010017912,Win's Holiday (Canada) Ltd,201211,2,0,0,0,0,0,2
00829780,0010024077,Wisdom Vacations (Canada) Ltd,201211,42,0,0,0,0,0,42
67525636,0010018789,Worldlink Travel Inc,201211,22,0,0,0,0,0,22
00797101,0010015497,World Tours & Travel Inc,201211,226,0,0,0,0,0,226
00903884,0090010335,Worldwide Travel Group Inc,201211,2,0,0,0,0,0,2
67504146,0010014195,Worldwide Travel Group Inc,201211,497,0,0,0,0,0,497
00840464,0010024174,Wy Travel,201211,1,0,0,0,0,0,1
00911131,0010025325,Xingchen Travel Inc.,201211,593,0,0,0,0,0,593
96505474,0010011149,Yes Travel,201211,-2,0,0,0,0,0,-2
00899496,0010025194,YIP Travel Ltd,201211,145,0,0,0,0,0,145
67694384,0010010332,YIP TRAVEL LTD,201211,35,0,0,0,0,0,35
67505620,0010024075,Your Choice Holidays Inc,201211,277,0,0,0,0,0,277
00837045,0010024172,Yoyo Travel,201211,18,0,0,0,0,0,18
96517444,0010011093,Y & V International Travel Ltd.,201211,61,0,0,0,0,0,61
00831865,0010024136,Yvr International Travel House,201211,104,0,0,0,0,0,104
00832171,0090016719,Yvr International Travel House,201211,12,0,0,0,0,0,12
00832344,0090016730,Yvr International Travel House,201211,12,0,0,0,0,0,12
00832646,0090016731,Yvr International Travel House,201211,39,0,0,0,0,0,39
00832694,0090016732,Yvr International Travel House,201211,0,0,0,0,0,0,0
00871360,0010011716,Zafaris Travel,201211,192,0,0,0,0,0,192
67534751,0010011095,Zen Travel,201211,164,0,0,0,17,0,181
,,,Sum:,"45,457",36,72,0,345,2,"45,912"
Count:,261,,,,,,,,,
